"year_month","genus","antimicrobial","I","N","R","S","Res.X","Res.N","Res.PointEst","Res.Lower","Res.Upper","Test.X","Test.N","Test.PointEst","Test.Lower","Test.Upper"
2020-01-01,"Escherichia","NITRO",0,15,8,568,8,576,0.0138888888888889,0.00705414947580548,0.0271646158761038,576,591,0.974619289340102,0.958548758326855,0.984559681209645
2020-01-01,"Escherichia","PIVMEC",0,28,18,551,18,569,0.031634446397188,0.0201024025087876,0.0494481829232018,569,597,0.953098827470687,0.933050016289731,0.967353895687069
2020-01-01,"Escherichia","TMP",0,12,171,410,171,581,0.294320137693632,0.258711016244514,0.33263122463914,581,593,0.979763912310287,0.964965094587461,0.98838690801017
2020-02-01,"Escherichia","NITRO",0,18,17,486,17,503,0.0337972166998012,0.0212066419166576,0.0534546908573871,503,521,0.965451055662188,0.946052332471217,0.978036250564474
2020-02-01,"Escherichia","PIVMEC",0,19,21,484,21,505,0.0415841584158416,0.0273571254529302,0.0627327405083412,505,524,0.963740458015267,0.944064980110968,0.976666030836568
2020-02-01,"Escherichia","TMP",2,16,134,373,134,509,0.263261296660118,0.226877416410063,0.303191777772888,509,525,0.96952380952381,0.951071228703813,0.981155229296247
2020-03-01,"Escherichia","NITRO",0,12,11,404,11,415,0.0265060240963855,0.014863777683013,0.0468336934638365,415,427,0.971896955503513,0.951526731626305,0.983852145566939
2020-03-01,"Escherichia","PIVMEC",0,13,15,397,15,412,0.0364077669902913,0.0221856620167599,0.0591950134855502,412,425,0.969411764705882,0.948375314540194,0.982038459112293
2020-03-01,"Escherichia","TMP",1,20,117,289,117,407,0.287469287469287,0.245648261613965,0.333264731985584,407,427,0.953161592505855,0.928764691995923,0.969477554837291
2020-04-01,"Escherichia","NITRO",0,2,9,237,9,246,0.0365853658536585,0.0193649831827692,0.0680562915880016,246,248,0.991935483870968,0.971077885305963,0.997785625660763
2020-04-01,"Escherichia","PIVMEC",0,1,14,233,14,247,0.0566801619433198,0.0340599486484601,0.0928786322798823,247,248,0.995967741935484,0.977517162689225,0.99979317220005
2020-04-01,"Escherichia","TMP",1,7,74,166,74,241,0.307053941908714,0.252223911727963,0.367938456001976,241,248,0.971774193548387,0.942894483378661,0.986261506646807
2020-05-01,"Escherichia","NITRO",0,2,8,291,8,299,0.0267558528428094,0.0136186695419964,0.0518989742375557,299,301,0.993355481727575,0.976100989711521,0.998175938200353
2020-05-01,"Escherichia","PIVMEC",0,3,14,285,14,299,0.0468227424749164,0.0280932572052899,0.0770490801242459,299,302,0.990066225165563,0.971205718330509,0.996615979687012
2020-05-01,"Escherichia","TMP",0,2,77,223,77,300,0.256666666666667,0.210533337225794,0.308952908770152,300,302,0.993377483443709,0.976179049406532,0.998181984408405
2020-06-01,"Escherichia","NITRO",0,9,5,354,5,359,0.0139275766016713,0.00596331024486282,0.032184091283291,359,368,0.97554347826087,0.954180321437506,0.987081046001281
2020-06-01,"Escherichia","PIVMEC",0,5,14,349,14,363,0.0385674931129477,0.0231105762870776,0.0636883883748139,363,368,0.986413043478261,0.968593038873034,0.994182874107211
2020-06-01,"Escherichia","TMP",0,9,104,255,104,359,0.289693593314763,0.245192318478729,0.338647961265544,359,368,0.97554347826087,0.954180321437506,0.987081046001281
2020-07-01,"Escherichia","NITRO",0,6,12,441,12,453,0.0264900662251656,0.0152171574247641,0.0457262142485622,453,459,0.986928104575163,0.971777832846616,0.993995633382927
2020-07-01,"Escherichia","PIVMEC",0,10,20,432,20,452,0.0442477876106195,0.0288236071673408,0.0673533815034927,452,462,0.978354978354978,0.960619473501378,0.988201185610736
2020-07-01,"Escherichia","TMP",1,0,128,334,128,463,0.27645788336933,0.237685201454078,0.318909449494639,463,463,1,0.991771384592966,1
2020-08-01,"Escherichia","NITRO",0,8,8,303,8,311,0.0257234726688103,0.0130909114149349,0.0499295652878937,311,319,0.974921630094044,0.951302393801938,0.987238774692428
2020-08-01,"Escherichia","PIVMEC",0,2,15,303,15,318,0.0471698113207547,0.0287909406870403,0.0763585293181526,318,320,0.99375,0.977501770220919,0.998284347933163
2020-08-01,"Escherichia","TMP",0,3,83,236,83,319,0.260188087774295,0.215098234184588,0.310984938159841,319,322,0.990683229813665,0.972970290545468,0.996826496958759
2020-09-01,"Escherichia","NITRO",0,5,8,426,8,434,0.0184331797235023,0.00936932037013509,0.0359472169768219,434,439,0.988610478359909,0.973618450598249,0.99512553543785
2020-09-01,"Escherichia","PIVMEC",0,7,7,425,7,432,0.0162037037037037,0.00787075711408784,0.0330649052916176,432,439,0.984054669703872,0.967456323345888,0.992255084731832
2020-09-01,"Escherichia","TMP",1,6,117,317,117,435,0.268965517241379,0.229451695805394,0.312524122659547,435,441,0.986394557823129,0.970638543820424,0.993749984931615
2020-10-01,"Escherichia","NITRO",0,11,9,468,9,477,0.0188679245283019,0.00995760547591523,0.035465804714758,477,488,0.977459016393443,0.960092031678516,0.98736774757097
2020-10-01,"Escherichia","PIVMEC",0,6,15,464,15,479,0.0313152400835073,0.0190676970489527,0.0510204409981601,479,485,0.987628865979381,0.973275672084656,0.994318200049449
